photo,Genre,sous genre,Espèce,sous espèce,species name,category,M/f/ND(0/1/2)
1,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
2,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
3,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
4,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
5,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
6,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
7,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
8,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
9,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
10,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
11,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
12,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
13,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
14,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
15,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
16,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
17,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
18,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
19,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
20,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
21,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
22,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
23,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
24,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
25,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
26,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
27,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
28,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
29,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
30,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
31,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
32,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
33,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
37,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
41,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
45,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
49,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
53,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
57,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
61,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
65,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
69,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
73,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
77,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
81,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
85,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
89,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
93,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
97,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
101,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
105,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
109,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
113,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
117,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
121,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
125,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
129,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
133,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
137,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
141,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
145,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
149,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
153,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,1
157,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
161,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
165,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
169,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
173,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
177,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
181,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
185,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
189,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
193,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
197,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
201,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
205,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
209,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
213,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
217,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
221,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
225,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
229,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
233,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
237,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
241,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
245,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
249,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
253,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
257,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
261,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
265,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
269,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
273,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
277,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
281,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
285,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
289,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
293,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
297,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
301,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
305,Aedes,Stegomyia,albopictus,,Aedes albopictus,1,0
309,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
313,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
317,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
321,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
325,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
329,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
333,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
337,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
341,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
345,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
349,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
353,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
357,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
361,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
365,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
369,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
373,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
377,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
381,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,1
385,Aedes,Stegomyia,aegypti,,Aedes aegypti,2,0
389,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
393,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
397,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
401,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
405,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
409,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
413,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
417,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
421,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
425,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
429,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
433,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
437,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
441,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
445,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
449,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
453,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
457,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
461,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
465,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
469,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
473,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
477,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
481,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
485,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
489,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
493,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
497,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
501,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
505,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
509,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
513,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
517,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
521,Culex,Culex,quinquefaciatus,,Culex  quinquefaciatus,3,2
522,Culex,Culex,pipiens,,Culex pipiens,4,0
523,Culex,Eumelanomyia,hortensis,,Culex hortensis,5,0
524,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
525,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
526,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
527,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
528,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
529,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
530,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
531,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
532,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
533,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
534,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
535,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
536,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
537,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
538,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
539,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,1
540,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
541,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
542,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
543,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
544,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
545,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
546,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
547,Anopheles,Cellia,coluzzii,,Anopheles coluzzii,6,0
548,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
549,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
550,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
551,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
552,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
553,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
554,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
555,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
556,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
557,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
558,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
559,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
560,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
561,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
562,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
563,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
564,Anopheles,Cellia,gambiae,,Anopheles gambiae,7,0
