photo,species name,category,M/f/ND(0/1/2)
1,Aedes albopictus,1,1
2,Aedes albopictus,1,1
3,Aedes albopictus,1,1
4,Aedes albopictus,1,1
5,Aedes albopictus,1,1
6,Aedes albopictus,1,1
7,Aedes albopictus,1,1
8,Aedes albopictus,1,1
9,Aedes albopictus,1,1
10,Aedes albopictus,1,1
11,Aedes albopictus,1,1
12,Aedes albopictus,1,1
13,Aedes albopictus,1,1
14,Aedes albopictus,1,1
15,Aedes albopictus,1,1
16,Aedes albopictus,1,1
17,Aedes albopictus,1,1
18,Aedes albopictus,1,1
19,Aedes albopictus,1,1
20,Aedes albopictus,1,1
21,Aedes albopictus,1,1
22,Aedes albopictus,1,1
23,Aedes albopictus,1,1
24,Aedes albopictus,1,1
25,Aedes albopictus,1,1
26,Aedes albopictus,1,1
27,Aedes albopictus,1,1
28,Aedes albopictus,1,1
29,Aedes albopictus,1,1
30,Aedes albopictus,1,1
31,Aedes albopictus,1,1
32,Aedes albopictus,1,1
33,Aedes albopictus,1,1
37,Aedes albopictus,1,1
41,Aedes albopictus,1,1
45,Aedes albopictus,1,1
49,Aedes albopictus,1,1
53,Aedes albopictus,1,1
57,Aedes albopictus,1,1
61,Aedes albopictus,1,1
65,Aedes albopictus,1,1
69,Aedes albopictus,1,1
73,Aedes albopictus,1,1
77,Aedes albopictus,1,1
81,Aedes albopictus,1,1
85,Aedes albopictus,1,1
89,Aedes albopictus,1,1
93,Aedes albopictus,1,1
97,Aedes albopictus,1,1
101,Aedes albopictus,1,1
105,Aedes albopictus,1,1
109,Aedes albopictus,1,1
113,Aedes albopictus,1,1
117,Aedes albopictus,1,1
121,Aedes albopictus,1,1
125,Aedes albopictus,1,1
129,Aedes albopictus,1,1
133,Aedes albopictus,1,1
137,Aedes albopictus,1,1
141,Aedes albopictus,1,1
145,Aedes albopictus,1,1
149,Aedes albopictus,1,1
153,Aedes albopictus,1,1
157,Aedes albopictus,1,0
161,Aedes albopictus,1,0
165,Aedes albopictus,1,0
169,Aedes albopictus,1,0
173,Aedes albopictus,1,0
177,Aedes albopictus,1,0
181,Aedes albopictus,1,0
185,Aedes albopictus,1,0
